Id,Country,A01_interview_date,A03_quest_no,A04_start,A05_end,A06_province,A07_district,A08_ward,A09_village,A11_years_farm,A12_agr_assoc,B_no_membrs,_members_count,B11_remittance_money,B16_years_liv,B17_parents_liv,B18_sp_parents_liv,B19_grand_liv,B20_sp_grand_liv,C01_respondent_roof_type,C02_respondent_wall_type,C03_respondent_floor_type,C04_window_type,C05_buildings_in_compound,C06_rooms,C07_other_buildings,D_no_plots,D_plots_count,E01_water_use,E_no_group_count,E_yes_group_count,E17_no_enough_water,E18_months_no_water,E19_period_use,E20_exper_other,E21_other_meth,E22_res_change,E23_memb_assoc,E24_resp_assoc,E25_fees_water,E26_affect_conflicts,F04_need_money,F05_money_source,F05_money_source_other,F08_emply_lab,F09_du_labour,F10_liv_owned,F10_liv_owned_other,F_liv_count,F12_poultry,F13_du_look_aftr_cows,F14_items_owned,G01_no_meals,G02_months_lack_food,G03_no_food_mitigation,gps:Latitude,gps:Longitude,gps:Altitude,gps:Accuracy,instanceID
1,Moz,17/11/2016,1,2017-03-23T09:49:57.000Z,2017-04-02T17:29:08.000Z,Manica,Manica,Bandula,God,11,no,3,3,no,4,no,yes,no,yes,grass,muddaub,earth,no,1,1,no,2,2,no,2.0,,,,,,,,,,,,,,,no,no,['poultry'],,1,yes,no,"['bicycle', 'television', 'solar_panel', 'table']",2,['Jan'],"['na', 'rely_less_food', 'reduce_meals', 'day_night_hungry']",-19.11225943,33.48345609,698.0,14.0,uuid:ec241f2c-0609-46ed-b5e8-fe575f6cefef
2,Moz,17/11/2016,1,2017-04-02T09:48:16.000Z,2017-04-02T17:26:19.000Z,Manica,Manica,Bandula,God,2,yes,7,7,no,9,yes,yes,yes,yes,grass,muddaub,earth,no,1,1,no,3,3,yes,,3.0,yes,"['Aug', 'Sept']",2.0,yes,no,,yes,no,no,once,no,,,yes,no,"['oxen', 'cows', 'goats']",,3,yes,no,"['cow_cart', 'bicycle', 'radio', 'cow_plough', 'solar_panel', 'solar_torch', 'table', 'mobile_phone']",2,"['Jan', 'Sept', 'Oct', 'Nov', 'Dec']","['na', 'reduce_meals', 'restrict_adults', 'borrow_food', 'seek_government']",-19.11247712,33.48341568,690.0,19.0,uuid:099de9c9-3e5e-427b-8452-26250e840d6e
3,Moz,17/11/2016,3,2017-04-02T14:35:26.000Z,2017-04-02T17:26:53.000Z,Manica,Manica,Bandula,God,40,no,10,10,no,15,no,no,no,no,mabatisloping,burntbricks,cement,yes,1,1,no,1,1,no,1.0,,,,,,,,,,,,,,,no,yes,['none'],,1,yes,no,['solar_torch'],2,"['Jan', 'Feb', 'Mar', 'Oct', 'Nov', 'Dec']","['na', 'restrict_adults', 'lab_ex_food']",-19.1121076,33.48344998,674.0,13.0,uuid:193d7daf-9582-409b-bf09-027dd36f9007
4,Moz,17/11/2016,4,2017-04-02T14:55:18.000Z,2017-04-02T17:27:16.000Z,Manica,Manica,Bandula,God,6,no,7,7,no,6,no,no,no,no,mabatisloping,burntbricks,earth,no,1,1,no,3,3,no,3.0,,,,,,,,,,,,,,,no,yes,"['oxen', 'cows']",,2,yes,no,"['bicycle', 'radio', 'cow_plough', 'solar_panel', 'mobile_phone']",2,"['Sept', 'Oct', 'Nov', 'Dec']","['na', 'reduce_meals', 'restrict_adults', 'lab_ex_food']",-19.11222901,33.48342395,679.0,5.0,uuid:148d1105-778a-4755-aa71-281eadd4a973
5,Moz,17/11/2016,5,2017-04-02T15:10:35.000Z,2017-04-02T17:27:35.000Z,Manica,Manica,Bandula,God,18,no,7,7,no,40,yes,no,yes,no,grass,burntbricks,earth,no,1,1,no,2,2,no,2.0,,,,,,,,,,,,,,,no,no,"['oxen', 'cows', 'goats', 'poultry']",,4,yes,no,"['motorcyle', 'radio', 'cow_plough', 'mobile_phone']",2,"['Aug', 'Sept', 'Oct', 'Nov']","['na', 'go_forest', 'migrate']",-19.11221722,33.48342524,689.0,10.0,uuid:2c867811-9696-4966-9866-f35c3e97d02d
6,Moz,17/11/2016,6,2017-04-02T15:27:25.000Z,2017-04-02T17:28:02.000Z,Manica,Manica,Bandula,God,3,no,3,3,no,3,no,no,no,no,grass,muddaub,earth,no,1,1,no,1,1,no,1.0,,,,,,,,,,,,,,,no,yes,['none'],,1,no,no,,2,"['Aug', 'Sept', 'Oct']","['borrow_food', 'lab_ex_food', 'seek_government']",-19.1121959,33.48339187,692.0,12.0,uuid:daa56c91-c8e3-44c3-a663-af6a49a2ca70
7,Moz,17/11/2016,7,2017-04-02T15:38:01.000Z,2017-04-02T17:28:19.000Z,Manica,Manica,Bandula,God,20,no,6,6,no,38,yes,no,yes,no,grass,muddaub,earth,no,1,1,yes,4,4,yes,,4.0,yes,"['Aug', 'Sept', 'Oct']",10.0,yes,no,,no,,no,never,no,,,no,no,['oxen'],,1,no,no,"['motorcyle', 'cow_plough']",3,['Nov'],['lab_ex_food'],-19.11221904,33.48336498,709.0,11.0,uuid:ae20a58d-56f4-43d7-bafa-e7963d850844
8,Moz,16/11/2016,8,2017-04-02T15:59:52.000Z,2017-04-02T17:28:39.000Z,Manica,Manica,Manica,Chirodzo,16,yes,12,12,no,70,yes,yes,yes,yes,mabatisloping,burntbricks,cement,no,2,3,yes,2,2,yes,,2.0,yes,"['Sept', 'Oct']",10.0,yes,no,,yes,yes,no,never,no,,,yes,no,"['oxen', 'goats']",,2,yes,no,"['motorcyle', 'bicycle', 'television', 'radio', 'cow_plough', 'solar_panel', 'solar_torch', 'table', 'fridge']",2,['Jan'],"['rely_less_food', 'limit_variety', 'reduce_meals', 'restrict_adults', 'borrow_food']",-19.11215963,33.48341914,700.0,9.0,uuid:d6cee930-7be1-4fd9-88c0-82a08f90fb5a
9,Moz,16/11/2016,9,2017-04-02T16:23:36.000Z,2017-04-02T16:42:08.000Z,Manica,Manica,Bandula,Chirodzo,16,no,8,8,no,6,yes,no,yes,no,grass,burntbricks,earth,no,2,1,yes,3,3,yes,,3.0,yes,"['Oct', 'Nov']",6.0,yes,no,,no,,no,never,no,,,yes,yes,"['oxen', 'cows', 'goats']",,3,yes,no,"['television', 'solar_panel', 'solar_torch']",3,"['Jan', 'Dec']","['rely_less_food', 'limit_variety', 'limit_portion', 'restrict_adults', 'lab_ex_food']",-19.11221518,33.48343695,701.0,11.0,uuid:846103d2-b1db-4055-b502-9cd510bb7b37
10,Moz,16/12/2016,10,2017-04-02T17:03:28.000Z,2017-04-02T17:25:11.000Z,Manica,Manica,Bandula,Chirodzo,22,no,12,12,no,23,no,no,no,no,mabatisloping,burntbricks,cement,yes,1,5,no,2,2,yes,,2.0,yes,"['Sept', 'Oct', 'Nov']",22.0,yes,no,,no,,no,never,no,,,yes,no,"['oxen', 'cows']",,2,yes,no,"['cow_cart', 'motorcyle', 'bicycle', 'television', 'radio', 'cow_plough', 'solar_panel', 'solar_torch', 'table']",3,"['Jan', 'Oct', 'Nov', 'Dec']","['rely_less_food', 'limit_portion', 'restrict_adults', 'lab_ex_food']",-19.1122147,33.48339436,710.0,14.0,uuid:8f4e49bc-da81-4356-ae34-e0d794a23721
11,Moz,21/11/2016,11,2017-04-03T03:16:15.000Z,2017-04-03T03:31:10.000Z,Manica,Manica,Bandula,God,6,no,6,6,no,20,yes,yes,no,yes,grass,sunbricks,earth,no,2,1,no,2,2,no,2.0,,,,,,,,,,,,,,,no,yes,"['oxen', 'cows']",,2,no,no,"['radio', 'cow_plough']",2,"['Oct', 'Nov']","['rely_less_food', 'lab_ex_food']",-19.11219126,33.48345933,707.0,10.0,uuid:d29b44e3-3348-4afc-aa4d-9eb34c89d483
12,Moz,21/11/2016,12,2017-04-03T03:31:13.000Z,2017-04-03T03:58:34.000Z,Manica,Manica,Bandula,God,20,no,7,7,yes,20,no,no,no,no,mabatisloping,burntbricks,cement,no,2,3,no,2,2,yes,,2.0,yes,"['Aug', 'Sept', 'Oct', 'Nov']",20.0,yes,no,,yes,no,no,never,no,,,no,no,"['oxen', 'cows']",,2,yes,no,"['cow_cart', 'bicycle', 'radio', 'cow_plough', 'table']",3,"['Sept', 'Oct']","['rely_less_food', 'limit_variety', 'reduce_meals', 'lab_ex_food']",-19.11229465,33.48341504,696.0,13.0,uuid:e6ee6269-b467-4e37-91fc-5e9eaf934557
13,Moz,21/11/2016,13,2017-04-03T03:58:43.000Z,2017-04-03T04:19:36.000Z,Manica,Manica,Bandula,God,7,yes,6,6,no,8,yes,no,yes,no,grass,burntbricks,earth,no,1,1,no,4,4,yes,,4.0,yes,['Oct'],7.0,yes,no,,no,,no,never,no,,,yes,no,"['cows', 'goats', 'poultry']",,3,yes,no,"['bicycle', 'radio', 'cow_plough', 'mobile_phone']",2,"['Sept', 'Oct', 'Nov']",['lab_ex_food'],-19.11236935,33.48355635,706.0,15.0,uuid:6c00c145-ee3b-409c-8c02-2c8d743b6918
14,Moz,21/11/2016,14,2017-04-03T04:19:57.000Z,2017-04-03T04:50:05.000Z,Manica,Manica,Bandula,God,20,yes,10,10,no,20,yes,yes,no,yes,grass,burntbricks,earth,no,3,3,no,3,3,no,3.0,,,,,,,,,,,,,,,yes,yes,"['oxen', 'cows', 'goats']",,3,yes,no,"['bicycle', 'radio', 'cow_plough', 'solar_panel', 'table', 'mobile_phone']",3,"['June', 'July', 'Aug', 'Sept', 'Oct', 'Nov']","['reduce_meals', 'lab_ex_food']",-19.11222089,33.4834388,698.0,11.0,uuid:9b21467f-1116-4340-a3b1-1ab64f13c87d
15,Moz,21/11/2016,15,2017-04-03T05:12:17.000Z,2017-04-03T05:28:44.000Z,Manica,Manica,Bandula,God,30,yes,5,5,no,30,yes,yes,yes,yes,grass,sunbricks,earth,no,1,2,yes,3,3,yes,,3.0,yes,"['Sept', 'Oct', 'Nov']",30.0,yes,no,,yes,no,no,once,no,,,no,no,"['oxen', 'cows', 'goats']",,3,yes,no,"['bicycle', 'radio', 'cow_plough', 'solar_panel', 'table']",2,"['Jan', 'Feb', 'Mar', 'Apr', 'May', 'June', 'July', 'Aug', 'Sept', 'Oct', 'Nov']","['na', 'rely_less_food', 'limit_portion', 'reduce_meals', 'lab_ex_food']",-19.1120793,33.48339657,715.0,9.0,uuid:a837e545-ff86-4a1c-a1a5-6186804b985f
16,Moz,24/11/2016,16,2017-04-03T05:29:24.000Z,2017-04-03T05:40:53.000Z,Manica,Manica,Bandula,God,24,yes,6,6,no,47,yes,yes,yes,yes,grass,muddaub,earth,yes,2,1,yes,1,1,no,1.0,,,,,,,,,,,,,,,yes,yes,"['oxen', 'cows', 'goats', 'poultry']",,4,no,no,"['radio', 'cow_plough', 'solar_panel', 'solar_torch']",3,"['Jan', 'Feb']",['lab_ex_food'],-19.11210678,33.48344397,709.0,9.0,uuid:d17db52f-4b87-4768-b534-ea8f9704c565
17,Moz,21/11/2016,17,2017-04-03T05:41:42.000Z,2017-04-03T05:57:57.000Z,Manica,Manica,Bandula,God,10,yes,8,8,no,20,no,no,no,no,grass,sunbricks,earth,no,2,1,no,3,3,no,3.0,,,,,,,,,,,,,,,no,yes,['goats'],,1,no,yes,['mobile_phone'],2,"['Nov', 'Dec']",['lab_ex_food'],-19.11218314,33.48346325,710.0,10.0,uuid:4707f3dc-df18-4348-9c2c-eec651e89b6b
18,Moz,21/11/2016,18,2017-04-03T12:27:04.000Z,2017-04-03T12:39:48.000Z,Manica,Manica,Bandula,God,6,no,4,4,no,20,yes,yes,no,yes,grass,muddaub,earth,no,1,1,no,2,2,no,2.0,,,,,,,,,,,,,,,no,yes,"['goats', 'pigs', 'poultry']",,3,yes,no,"['bicycle', 'mobile_phone']",2,"['Oct', 'Nov']","['reduce_meals', 'lab_ex_food']",-19.11133515,33.47630848,685.0,17.0,uuid:7ffe7bd1-a15c-420c-a137-e1f006c317a3
19,Moz,21/11/2016,19,2017-04-03T12:40:14.000Z,2017-04-03T12:53:29.000Z,Manica,Manica,Bandula,God,20,yes,9,9,no,23,yes,yes,yes,yes,mabatisloping,burntbricks,earth,no,1,2,yes,2,2,no,2.0,,,,,,,,,,,,,,,yes,yes,"['oxen', 'goats']",,2,yes,no,"['bicycle', 'radio', 'cow_plough', 'solar_panel', 'solar_torch', 'mobile_phone']",3,"['Oct', 'Nov', 'Dec']","['rely_less_food', 'limit_portion', 'lab_ex_food', 'seek_government']",-19.11142642,33.47640837,716.0,30.0,uuid:e32f2dc0-0d05-42fb-8e21-605757ddf07d
20,Moz,21/11/2016,20,2017-04-03T14:04:50.000Z,2017-04-03T14:20:04.000Z,Manica,Manica,Bandula,God,24,yes,6,6,no,1,yes,yes,yes,yes,grass,burntbricks,earth,yes,1,1,no,2,2,no,2.0,,,,,,,,,,,,,,,no,yes,['cows'],,1,yes,yes,"['bicycle', 'cow_plough', 'solar_torch']",2,"['Oct', 'Nov']","['rely_less_food', 'lab_ex_food']",-19.11147317,33.47619213,700.0,27.0,uuid:d1005274-bf52-4e79-8380-3350dd7c2bac
21,Moz,21/11/2016,21,2017-04-03T14:24:58.000Z,2017-04-03T14:44:39.000Z,Manica,Manica,Bandula,God,20,yes,8,8,no,20,no,yes,no,yes,mabatisloping,burntbricks,cement,no,1,1,no,4,4,yes,,4.0,yes,['Oct'],20.0,yes,no,,no,,no,never,no,,,no,yes,"['oxen', 'cows', 'goats']",,3,yes,no,,2,"['Jan', 'Feb', 'Mar', 'Oct', 'Nov', 'Dec']","['rely_less_food', 'restrict_adults', 'day_night_hungry', 'lab_ex_food']",-19.11155014,33.47623134,707.0,20.0,uuid:6570a7d0-6a0b-452c-aa2e-922500e35749
22,Moz,21/11/2016,22,2017-04-03T16:28:52.000Z,2017-04-03T16:40:47.000Z,Manica,Manica,Bandula,God,14,no,4,4,no,20,yes,yes,yes,yes,grass,muddaub,earth,no,1,1,no,1,1,no,1.0,,,,,,,,,,,,,,,no,yes,['goats'],,1,yes,no,['radio'],2,"['Jan', 'Feb', 'Mar', 'Apr', 'Aug', 'Sept', 'Oct', 'Nov', 'Dec']","['rely_less_food', 'reduce_meals', 'go_forest', 'lab_ex_food']",-19.11212691,33.48350764,722.0,9.0,uuid:a51c3006-8847-46ff-9d4e-d29919b8ecf9
23,Moz,21/11/2016,23,2017-04-03T16:41:04.000Z,2017-04-03T17:04:28.000Z,Manica,Manica,Bandula,Ruaca,12,yes,10,10,no,20,no,no,no,no,mabatisloping,burntbricks,cement,yes,1,4,yes,2,2,no,2.0,,,,,,,,,,,,,,,yes,no,"['oxen', 'cows', 'goats']",,3,yes,no,"['cow_cart', 'bicycle', 'television', 'radio', 'cow_plough', 'solar_panel', 'electricity', 'mobile_phone']",3,['none'],['na'],-19.11219352,33.4833833,699.0,10.0,uuid:58b37b6d-d6cd-4414-8790-b9c68bca98de
24,Moz,21/11/2016,24,2017-04-03T17:19:49.000Z,2017-04-03T17:43:01.000Z,Manica,Manica,Bandula,Ruaca,8,no,6,6,no,4,no,no,no,no,mabatisloping,burntbricks,cement,yes,2,2,yes,3,3,yes,,3.0,yes,"['Sept', 'Oct']",8.0,yes,no,,no,,no,never,no,,,yes,no,"['oxen', 'cows', 'goats']",,3,no,no,"['radio', 'table', 'sofa_set', 'mobile_phone']",2,"['Nov', 'Dec']",['lab_ex_food'],-19.11218803,33.48343475,745.0,11.0,uuid:661457d3-7e61-45e8-a238-7415e7548f82
25,Moz,21/11/2016,25,2017-04-04T04:01:58.000Z,2017-04-04T04:29:47.000Z,Manica,Manica,Bandula,Ruaca,10,yes,11,11,no,6,no,no,no,no,mabatisloping,burntbricks,cement,no,2,3,yes,3,3,yes,,3.0,yes,"['Aug', 'Sept']",10.0,yes,no,,no,,no,never,yes,"['business', 'non_farm_prod']",,yes,no,"['oxen', 'cows']",,2,yes,no,"['cow_cart', 'motorcyle', 'television', 'radio', 'cow_plough', 'solar_panel', 'solar_torch', 'table', 'sofa_set', 'mobile_phone']",2,"['Jan', 'Feb', 'Oct']",['na'],-19.11223416,33.4834841,698.0,11.0,uuid:45ed84c4-114e-4df0-9f5d-c800806c2bee
26,Moz,21/11/2016,26,2017-04-04T04:30:19.000Z,2017-04-04T04:44:19.000Z,Manica,Manica,Bandula,Ruaca,2,yes,3,3,no,20,yes,yes,yes,yes,mabatisloping,burntbricks,earth,no,2,2,no,2,2,yes,,2.0,yes,"['Oct', 'Nov']",2.0,yes,no,,no,,no,never,no,,,yes,yes,"['oxen', 'cows']",,2,yes,no,"['radio', 'cow_plough', 'table', 'mobile_phone']",2,['none'],['na'],-19.11230411,33.48354341,706.0,12.0,uuid:1c54ee24-22c4-4ee9-b1ad-42d483c08e2e
27,Moz,21/11/2016,27,2017-04-05T04:59:42.000Z,2017-04-05T05:14:45.000Z,Manica,Manica,Bandula,Ruaca,36,no,7,7,no,36,no,no,no,no,grass,burntbricks,earth,no,3,2,yes,2,2,no,2.0,,,,,,,,,,,,,,,no,no,"['oxen', 'cows', 'poultry']",,3,yes,no,"['bicycle', 'radio', 'cow_plough', 'solar_panel', 'solar_torch', 'mobile_phone']",3,['none'],['na'],-19.0430007,33.40508367,679.0,14.0,uuid:3197cded-1fdc-4c0c-9b10-cfcc0bf49c4d
28,Moz,21/11/2016,28,2017-04-05T05:14:49.000Z,2017-04-05T05:36:18.000Z,Manica,Manica,Bandula,Ruaca,2,no,2,2,no,2,no,no,no,no,grass,muddaub,earth,no,1,1,yes,3,3,yes,,3.0,yes,"['Aug', 'Sept', 'Oct', 'Nov']",2.0,yes,no,,no,,no,more_once,no,,,no,yes,['none'],,1,yes,no,,3,"['Aug', 'Sept', 'Oct']","['rely_less_food', 'reduce_meals', 'borrow_food', 'go_forest', 'lab_ex_food']",-19.04290893,33.40506932,721.0,7.0,uuid:1de53318-a8cf-4736-99b1-8239f8822473
29,Moz,21/11/2016,29,2017-04-05T05:37:30.000Z,2017-04-05T06:05:44.000Z,Manica,Manica,Bandula,Ruaca,10,yes,7,7,no,10,yes,no,yes,no,mabatisloping,burntbricks,earth,no,1,2,yes,3,3,yes,,3.0,yes,"['Sept', 'Oct', 'Nov']",4.0,yes,yes,['less_work'],yes,yes,no,frequently,no,,,no,no,['goats'],,1,yes,no,"['motorcyle', 'bicycle', 'radio', 'table', 'mobile_phone']",3,"['Jan', 'Feb']","['rely_less_food', 'limit_variety']",-19.04302413,33.40507276,657.0,6.0,uuid:adcd7463-8943-4c67-b25f-f72311409476
30,Moz,21/11/2016,30,2017-04-05T06:05:58.000Z,2017-04-05T06:20:39.000Z,Manica,Manica,Bandula,Ruaca,22,yes,7,7,yes,22,no,no,no,no,grass,muddaub,earth,no,1,2,no,1,1,no,1.0,,,,,,,,,,,,,,,no,yes,['none'],,1,no,no,"['bicycle', 'radio', 'mobile_phone']",2,"['Jan', 'Feb']","['rely_less_food', 'limit_variety', 'limit_portion', 'restrict_adults', 'lab_ex_food']",-19.04300478,33.40505449,669.0,5.0,uuid:59341ead-92be-45a9-8545-6edf9f94fdc6
31,Moz,21/11/2016,31,2017-04-05T06:21:20.000Z,2017-04-05T06:38:26.000Z,Manica,Manica,Bandula,Ruaca,15,yes,3,3,no,2,yes,yes,yes,yes,grass,muddaub,earth,no,7,1,no,1,1,no,1.0,,,,,,,,,,,,,,,no,no,['none'],,1,no,no,,3,['none'],['na'],-19.04302176,33.40509382,704.0,4.0,uuid:cb06eb49-dd39-4150-8bbe-a599e074afe8
32,Moz,21/11/2016,32,2017-04-05T06:38:55.000Z,2017-04-05T08:05:32.000Z,Manica,Manica,Bandula,Ruaca,53,yes,19,19,yes,69,yes,yes,yes,no,mabatipitched,muddaub,earth,no,8,2,yes,8,8,yes,,8.0,yes,"['Sept', 'Oct']",45.0,yes,no,,yes,no,no,more_once,yes,['farming'],,yes,yes,"['oxen', 'cows', 'goats', 'pigs', 'poultry']",,5,yes,no,"['cow_cart', 'motorcyle', 'radio', 'cow_plough', 'solar_panel', 'mobile_phone']",2,['none'],['na'],-19.04411399,33.40390565,703.0,8.0,uuid:25597af3-cd79-449c-a48a-fb9aea6c48bf
33,Moz,21/11/2016,33,2017-04-05T08:08:19.000Z,2017-04-05T08:25:48.000Z,Manica,Manica,Bandula,Ruaca,20,yes,8,8,no,34,yes,yes,yes,yes,grass,muddaub,cement,no,2,1,no,2,2,yes,,2.0,yes,"['Aug', 'Sept', 'Oct']",20.0,yes,no,,no,,no,more_once,no,,,no,no,"['oxen', 'poultry']",,2,yes,no,"['cow_cart', 'lorry', 'motorcyle', 'sterio', 'cow_plough', 'solar_panel', 'mobile_phone']",2,['none'],['na'],-19.04414887,33.40383602,695.0,5.0,uuid:0fbd2df1-2640-4550-9fbd-7317feaa4758
34,Moz,17/11/2016,34,2017-04-05T16:00:47.000Z,2017-04-05T16:21:59.000Z,Manica,Manica,Bandula,Chirodzo,18,yes,8,8,no,18,no,no,no,no,mabatisloping,burntbricks,cement,yes,2,3,yes,2,2,yes,,2.0,yes,"['Oct', 'Nov']",2.0,yes,no,,yes,no,no,more_once,no,,,no,no,"['oxen', 'cows', 'goats']",,3,yes,no,"['television', 'radio', 'cow_plough', 'solar_panel', 'solar_torch', 'table', 'mobile_phone']",2,"['Jan', 'Dec']","['rely_less_food', 'limit_variety', 'limit_portion', 'restrict_adults', 'lab_ex_food']",-19.11219065,33.48341559,706.0,11.0,uuid:14c78c45-a7cc-4b2a-b765-17c82b43feb4
35,Moz,17/11/2016,35,2017-04-05T16:22:13.000Z,2017-04-05T16:50:25.000Z,Manica,Manica,Bandula,Chirodzo,45,yes,5,5,no,45,no,no,no,no,grass,muddaub,earth,no,3,1,no,2,2,yes,,2.0,yes,"['Sept', 'Oct', 'Nov']",20.0,yes,no,,yes,no,no,more_once,no,,,no,yes,"['oxen', 'cows']",,2,yes,no,"['bicycle', 'cow_plough']",3,"['Jan', 'Sept', 'Oct', 'Nov', 'Dec']","['rely_less_food', 'limit_variety', 'limit_portion', 'reduce_meals', 'restrict_adults', 'go_forest']",-19.11211362,33.48342515,733.0,11.0,uuid:ff7496e7-984a-47d3-a8a1-13618b5683ce
36,Moz,17/11/2016,36,2017-04-05T16:50:48.000Z,2017-04-05T17:10:53.000Z,Manica,Manica,Bandula,Chirodzo,23,yes,6,6,no,23,no,no,no,no,mabatisloping,sunbricks,earth,no,1,1,no,3,3,yes,,3.0,no,,23.0,yes,no,,yes,no,no,once,no,,,yes,yes,"['oxen', 'cows', 'pigs']",,3,no,no,"['cow_cart', 'bicycle', 'radio', 'cow_plough', 'solar_panel', 'mobile_phone']",3,['none'],['na'],-19.11218058,33.4833843,710.0,10.0,uuid:c90eade0-1148-4a12-8c0e-6387a36f45b1
37,Moz,17/11/2016,37,2017-04-05T17:17:48.000Z,2017-04-05T17:26:51.000Z,Manica,Manica,Bandula,Chirodzo,8,no,3,3,no,8,yes,yes,no,no,mabatisloping,burntbricks,earth,no,3,1,no,1,1,no,1.0,,,,,,,,,,,,,,,no,no,"['oxen', 'cows']",,2,yes,no,"['bicycle', 'television', 'radio', 'cow_plough', 'solar_panel', 'solar_torch', 'mobile_phone']",3,"['Jan', 'Nov', 'Dec']","['rely_less_food', 'limit_variety', 'lab_ex_food']",-19.11217951,33.48339525,711.0,12.0,uuid:408c6c93-d723-45ef-8dee-1b1bd3fe20cd
